City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Havre-Saint-Pierre,CA,50.23,-63.6,62.6,67,1,18.34,clear sky
84,Caravelas,BR,-17.71,-39.25,72.32,89,73,9.08,light rain
85,Airai,TL,-8.93,125.41,57.76,50,0,3.11,clear sky
86,Ostrovnoy,RU,68.05,39.51,52.81,91,66,4.27,broken clouds
87,Ankazoabo,MG,-22.28,44.52,66.58,74,0,13.73,clear sky
88,Banyuwangi,ID,-8.23,114.36,72.01,62,1,1.66,clear sky
89,Chunskiy,RU,56.08,99.63,57.76,84,100,2.95,light rain
90,Puerto Ayora,EC,-0.74,-90.35,77.0,53,40,25.28,scattered clouds
91,Butaritari,KI,3.07,172.79,82.56,63,100,1.99,overcast clouds
92,Upernavik,GL,72.79,-56.15,45.16,67,41,10.18,scattered clouds
93,Torbay,CA,47.67,-52.73,71.01,49,75,25.28,broken clouds
94,Hobart,AU,-42.88,147.33,36.0,93,90,8.05,overcast clouds
95,Imbituba,BR,-28.24,-48.67,59.0,44,20,13.87,few clouds
96,Sao Joao Da Barra,BR,-21.64,-41.05,71.6,68,90,13.87,overcast clouds
97,Emerald,AU,-23.53,148.17,53.6,40,0,8.05,clear sky
98,La Ronge,CA,55.1,-105.28,64.4,77,75,18.34,broken clouds
99,Ust-Nera,RU,64.57,143.2,36.55,79,0,5.68,clear sky
100,Haguenau,FR,48.82,7.79,84.2,45,1,3.36,light rain
101,Cidreira,BR,-30.18,-50.21,52.2,53,0,9.64,clear sky
102,Sao Filipe,CV,14.9,-24.5,77.74,74,46,6.55,scattered clouds
103,Provideniya,RU,64.38,-173.3,49.62,93,100,8.75,light rain
104,Bengkulu,ID,-3.8,102.27,75.47,87,90,4.34,overcast clouds
105,Jumla,NP,29.27,82.18,62.58,70,98,0.72,overcast clouds
106,Pevek,RU,69.7,170.31,39.07,88,100,2.55,light rain
107,Sobolevo,RU,54.43,31.9,53.64,96,81,5.37,broken clouds
108,Sanchor,IN,24.76,71.77,86.25,77,100,7.2,light rain
109,Waipawa,NZ,-41.41,175.52,50.0,93,56,4.7,broken clouds
110,Zhaoyuan,CN,37.36,120.4,63.79,89,0,2.08,clear sky
111,Nago,JP,26.59,127.98,80.6,94,40,4.94,scattered clouds
112,San Ramon,US,37.78,-121.98,91.0,39,90,6.93,haze
113,Umm Kaddadah,SD,13.6,26.69,88.41,43,38,2.62,scattered clouds
114,Aguimes,ES,27.91,-15.45,78.01,73,20,17.22,few clouds
115,Atar,MR,20.52,-13.05,97.68,31,22,7.67,few clouds
116,Cayenne,GF,4.93,-52.33,87.8,62,0,9.17,clear sky
117,Atuona,PF,-9.8,-139.03,78.48,79,5,15.35,light rain
118,Muskegon,US,43.3,-86.13,86.0,51,40,10.29,scattered clouds
119,Sapele,NG,5.89,5.68,73.38,96,100,3.4,overcast clouds
120,Dunedin,NZ,-45.87,170.5,45.0,95,79,1.99,broken clouds
121,Clyde River,CA,70.47,-68.59,44.02,82,98,2.15,overcast clouds
122,Praia Da Vitoria,PT,38.73,-27.07,71.6,78,40,5.84,scattered clouds
123,Lata,PT,40.16,-8.33,73.99,87,87,2.98,overcast clouds
124,Puerto Escondido,MX,15.85,-97.07,86.0,66,75,6.93,broken clouds
125,Isangel,VU,-19.55,169.27,71.6,94,42,3.36,scattered clouds
126,Tiksi,RU,71.69,128.87,37.47,84,100,10.25,overcast clouds
127,Itarema,BR,-2.92,-39.92,81.41,71,8,17.76,clear sky
128,Kruisfontein,ZA,-34.0,24.73,55.0,88,0,1.01,clear sky
129,Yellowknife,CA,62.46,-114.35,57.2,58,75,11.41,broken clouds
130,Klaksvik,FO,62.23,-6.59,53.6,87,100,16.11,overcast clouds
131,Ondjiva,AO,-17.07,15.73,59.49,21,89,5.99,overcast clouds
132,Harper,LR,4.38,-7.72,75.7,82,73,9.71,broken clouds
133,Paita,PE,-5.09,-81.11,75.2,57,30,12.75,scattered clouds
134,Tateyama,JP,34.98,139.87,82.0,90,0,4.72,clear sky
135,Havre,FR,49.58,0.33,69.8,64,28,18.34,scattered clouds
136,Codrington,AU,-38.27,141.97,44.92,83,93,17.52,light rain
137,Kavieng,PG,-2.57,150.8,82.02,79,5,10.27,clear sky
138,Ihosy,MG,-22.4,46.12,62.42,85,44,11.5,scattered clouds
139,Bonavista,CA,48.65,-53.11,69.01,52,36,21.99,scattered clouds
140,Edson,CA,53.58,-116.44,66.2,68,1,11.41,clear sky
141,Guntakal,IN,15.17,77.38,75.24,84,100,10.36,overcast clouds
142,Tautira,PF,-17.73,-149.15,80.6,74,40,3.36,scattered clouds
143,Berlevag,NO,70.86,29.09,57.2,82,75,11.41,broken clouds
144,Porbandar,IN,21.64,69.61,81.54,87,100,14.52,overcast clouds
145,Ojinaga,MX,29.57,-104.42,100.4,16,1,3.36,clear sky
146,Bonthe,SL,7.53,-12.51,77.58,83,81,9.53,broken clouds
147,Altay,CN,47.87,88.12,62.1,49,100,5.17,overcast clouds
148,Aykhal,RU,66.0,111.5,48.2,61,96,4.47,overcast clouds
149,Los Llanos De Aridane,ES,28.66,-17.92,79.0,73,20,9.17,few clouds
150,Ancud,CL,-41.87,-73.82,57.0,71,0,5.82,clear sky
151,Te Anau,NZ,-45.42,167.72,42.28,88,79,0.22,broken clouds
152,Dingle,PH,11.0,122.67,75.6,90,0,1.23,clear sky
153,Tukrah,LY,32.53,20.58,78.76,71,0,15.37,clear sky
154,Urumqi,CN,43.8,87.6,73.4,43,75,13.42,broken clouds
